Time/Tenor 1d_Hist 1d_Low 1d_High 7d_Hist 7d_Low 7d_High 21d_Hist 21d_Low 21d_High 42d_Hist 42d_Low 42d_High 63d_Hist 63d_Low 63d_High 126d_Hist 126d_Low 126d_High 252d_Hist 252d_Low 252d_High
0.265873 0.0617281 0.0506042 0.066324 0.0575 0.0506486 0.0661886 0.0555141 0.0507459 0.0658704 0.0549875 0.050876 0.0653529 0.0546234 0.0510237 0.0648918 0.0531188 0.0516706 0.0640586 0.0521969 0.0522011 0.0622504
0.269841 0.05 0.0507103 0.066003 0.0525 0.050769 0.0658497 0.0548469 0.0508445 0.0654985 0.0547094 0.0509429 0.0649883 0.0544156 0.0510697 0.0645784 0.0531188 0.0516342 0.0637328 0.0522094 0.0522422 0.0622039
0.27381 0.0638 0.050307 0.0663628 0.0550766 0.0503442 0.066207 0.0549125 0.0504464 0.0658198 0.0545984 0.0505834 0.065259 0.0543281 0.0507564 0.064818 0.0529375 0.0514209 0.0639118 0.0520344 0.0521325 0.0623075
0.277778 0.063825 0.0505093 0.0663936 0.0532891 0.0505852 0.066245 0.0546234 0.0506991 0.0659045 0.0544219 0.0508141 0.065409 0.0541656 0.0509712 0.0649946 0.0528906 0.0514805 0.0640596 0.0519844 0.052146 0.0623275
0.281746 0.0469984 0.0505429 0.066179 0.0482547 0.0505876 0.0660219 0.0532578 0.0506853 0.0656622 0.0536563 0.0508029 0.0651398 0.0537359 0.0509603 0.0647102 0.0529641 0.0515222 0.0637755 0.0522484 0.0520445 0.0621008
0.285714 0.0404563 0.0502572 0.0663566 0.0446938 0.0503062 0.066186 0.0530813 0.0504138 0.065796 0.0537625 0.0505323 0.0652479 0.0540031 0.0506914 0.0648702 0.0534969 0.0512256 0.0639818 0.0528797 0.0518358 0.0623274
0.289683 0.0202282 0.0505477 0.065938 0.0223469 0.050578 0.0657727 0.0265406 0.0506432 0.0653947 0.0268812 0.0507607 0.064847 0.0270015 0.0509316 0.0644141 0.0267485 0.0514236 0.0634599 0.0264399 0.0519985 0.0618575
0.293651 0.0257547 0.0499476 0.0658093 0.0262812 0.0499969 0.0656579 0.0271844 0.0501054 0.0653212 0.0272219 0.0502514 0.064873 0.0272281 0.050559 0.064543 0.0268336 0.0513182 0.063708 0.0265594 0.0519667 0.0620754
0.297619 0.0515094 0.0505951 0.0659842 0.0525625 0.0506168 0.0658412 0.0543688 0.0506625 0.0654439 0.0544438 0.0507189 0.0649754 0.0544563 0.0508945 0.0646637 0.0536672 0.0514849 0.0638287 0.0531188 0.0521271 0.0623144
0.301587 0.0475 0.0506776 0.0658875 0.0511938 0.0507097 0.0657488 0.0541656 0.0507788 0.0654309 0.0544156 0.0508534 0.0649311 0.0544438 0.0510282 0.0645891 0.0537313 0.0516022 0.0637652 0.0534094 0.0521732 0.0621136
0.305556 0.0459328 0.0503962 0.0660216 0.05 0.0504402 0.0658917 0.0535703 0.0505219 0.0655893 0.0535594 0.050652 0.0651099 0.0535094 0.0509015 0.0647818 0.0530422 0.0513973 0.0638865 0.0525125 0.0520793 0.0621426
0.309524 0.0487375 0.0503591 0.0660598 0.0516594 0.0504102 0.0659182 0.053775 0.0504641 0.0655934 0.0536438 0.0505323 0.0651205 0.0535266 0.0507348 0.0648084 0.053 0.0512472 0.0639237 0.0527625 0.0518957 0.0622391
0.313492 0.0487625 0.0504397 0.0660738 0.0525 0.0504749 0.0659302 0.0538875 0.0505511 0.0656009 0.053675 0.0506508 0.0651215 0.0535422 0.0509178 0.0648141 0.0528922 0.0514682 0.0639121 0.0525125 0.0520688 0.0621991
0.31746 0.05 0.0501568 0.0660512 0.053825 0.0501809 0.0659133 0.0541531 0.0502322 0.0655967 0.053775 0.0503446 0.0651346 0.0536375 0.0506233 0.0648537 0.0528797 0.0512507 0.0639884 0.052525 0.0519171 0.0623585
0.321429 0.0494031 0.0500362 0.0661798 0.0531625 0.050091 0.0660418 0.05415 0.0501905 0.0657254 0.0537375 0.0503204 0.0652506 0.0535875 0.0506096 0.0648447 0.0527797 0.0511885 0.0638271 0.0523094 0.0518699 0.0623837
0.325397 0.0492438 0.0500102 0.0659628 0.0519188 0.0500542 0.065822 0.0539953 0.0501551 0.0654992 0.0536172 0.0502899 0.0649203 0.0534547 0.0505949 0.0645972 0.0525 0.0512122 0.0637235 0.0520078 0.0518427 0.0622139
0.329365 0.0524219 0.0500051 0.0664531 0.0551625 0.0500463 0.0663031 0.0540031 0.0501364 0.0659595 0.053575 0.0502565 0.0654602 0.0533672 0.0505647 0.0651791 0.0524125 0.0510957 0.0642269 0.0518844 0.0518729 0.0624891
0.333333 0.0512938 0.0499579 0.0661723 0.055 0.0500045 0.0660255 0.0542172 0.0501065 0.0656891 0.0536625 0.0502431 0.0652 0.0534047 0.0505725 0.0649398 0.05245 0.0512047 0.0640591 0.0521469 0.0518932 0.0625054
0.337302 0.0559 0.0498248 0.0662357 0.0568844 0.0498617 0.066084 0.0542766 0.0499757 0.0657517 0.053775 0.0501431 0.0653078 0.0534688 0.0504884 0.0650693 0.052525 0.0510843 0.064151 0.052475 0.051772 0.0624667
0.34127 0.055 0.0498896 0.0663482 0.0561172 0.0499273 0.0662023 0.05405 0.0500092 0.0658681 0.0536172 0.0501432 0.0654084 0.0532938 0.050441 0.065148 0.0524875 0.0510129 0.0641785 0.0523625 0.0516502 0.0625292
